ID;Ürün Adı;Fiyat (EUR);Marka;Kategori;Kategori Kodu;Ürün Kodu;Spec: displacement_cm3
26;Embraco NEU 6187 Z-Dual frekans;115.76;Embraco;Kompresörler;compressor;;
27;Embraco NEK 6187 Z -Dual frekans;128.88;Embraco;Kompresörler;compressor;;
28;Embraco NEU 6210 Z;118.35;Embraco;Kompresörler;compressor;;
29;Embraco NEU 6210 Z -Dual Frekans;122.22;Embraco;Kompresörler;compressor;;
30;Embraco NEU 6212 Z;127.58;Embraco;Kompresörler;compressor;;
31;Embraco NEU 6212 Z-Dual Frekans;131.32;Embraco;Kompresörler;compressor;;
32;Embraco NEU 6214 Z;135.59;Embraco;Kompresörler;compressor;;
33;Embraco NEU 6214 Z- Dual frekans - CSR;167.73;Embraco;Kompresörler;compressor;;
34;Embraco NT 6217 Z;201.19;Embraco;Kompresörler;compressor;;
35;Embraco NT 6217 Z (with rotolock valve);242.62;Embraco;Kompresörler;compressor;;
36;Embraco NJ 6220 Z;292.12;Embraco;Kompresörler;compressor;;
37;Embraco NJ 6220 Z (Vanasız Kaynak Bağlantılı);286.18;Embraco;Kompresörler;compressor;;
38;Embraco NT 6220 Z;238.22;Embraco;Kompresörler;compressor;;
39;Embraco NJ 6226 Z;307.19;Embraco;Kompresörler;compressor;;
40;Embraco NJ 6220 ZX (Vanasız+kaynak bağlantılı);293.06;Embraco;Kompresörler;compressor;;
41;Embraco NJ 6226 ZX (Vanasız-Kaynak Bağlantılı);299.81;Embraco;Kompresörler;compressor;;
42;Embraco NEU 6214 E;159.72;Embraco;Kompresörler;compressor;;
43;Embraco NJ 9226 E;304.78;Embraco;Kompresörler;compressor;;
44;Embraco NJ 9232 E;319.89;Embraco;Kompresörler;compressor;;
45;Embraco NJ 9238 E;322.71;Embraco;Kompresörler;compressor;;
46;Embraco NJ 9238 P;345.35;Embraco;Kompresörler;compressor;;
47;Embraco EMT 6152 GK;102.57;Embraco;Kompresörler;compressor;;
48;Embraco EMT 6165 GK;105.18;Embraco;Kompresörler;compressor;;
49;Embraco NEK 6181 GK;122.35;Embraco;Kompresörler;compressor;;
50;Embraco NEU 6215 GK;121.82;Embraco;Kompresörler;compressor;;
51;Embraco NEU 6215 GK - CSR -;139.86;Embraco;Kompresörler;compressor;;
52;Embraco NEK 6217 GK;175.91;Embraco;Kompresörler;compressor;;
53;Embraco NT 6220 GK;198.01;Embraco;Kompresörler;compressor;;
54;Embraco NT 6220 GK - CSR;220.43;Embraco;Kompresörler;compressor;;
55;Embraco NEU 6220 GK-CSR;152.87;Embraco;Kompresörler;compressor;;
56;Embraco NT 6222 GK;205.46;Embraco;Kompresörler;compressor;;
57;Embraco NT 6222 GK (with rotolock valve);251.80;Embraco;Kompresörler;compressor;;
58;Embraco NT 6222 GK - CSR;232.54;Embraco;Kompresörler;compressor;;
59;Embraco NT 6224 GK;240.23;Embraco;Kompresörler;compressor;;
60;Embraco NT 6226 GK;235.03;Embraco;Kompresörler;compressor;;
61;Embraco NT 6226 GK (with rotolock valve);245.53;Embraco;Kompresörler;compressor;;
62;Embraco NJ 9226 GK (with rotolock valve );290.42;Embraco;Kompresörler;compressor;;
63;Embraco NJ 9232 GK;265.25;Embraco;Kompresörler;compressor;;
64;Embraco NJ 9238 GK;278.21;Embraco;Kompresörler;compressor;;
65;Embraco NJ 9238 GK -230V/60 Hz (Vanasız-Kaynak);291.48;Embraco;Kompresörler;compressor;;
66;Embraco NJ 9226 GS;292.99;Embraco;Kompresörler;compressor;;
67;Embraco NJ 9238 GS;312.54;Embraco;Kompresörler;compressor;;
68;Embraco NJX 6250 GK;413.05;Embraco;Kompresörler;compressor;;
69;Embraco NJX 6250 G;384.01;Embraco;Kompresörler;compressor;;
70;Embraco NJX 6250 GS;384.01;Embraco;Kompresörler;compressor;;
71;Embraco EMT 2125 GK;106.97;Embraco;Kompresörler;compressor;;
72;Embraco EMT 2130 GK;112.34;Embraco;Kompresörler;compressor;;
73;Embraco NEU 2140 GK;110.69;Embraco;Kompresörler;compressor;;
74;Embraco NEU 2140 GK-Dual Frekans;123.31;Embraco;Kompresörler;compressor;;
75;Embraco NEU 2168 GK;133.73;Embraco;Kompresörler;compressor;;
76;Embraco NEU 2168 GKA;132.31;Embraco;Kompresörler;compressor;;
77;Embraco NEU 2178 GK;160.43;Embraco;Kompresörler;compressor;;
78;Embraco NEU 2178 GKA - CSR;153.17;Embraco;Kompresörler;compressor;;
79;Embraco NT 2180 GK -CSR;239.32;Embraco;Kompresörler;compressor;;
80;Embraco NT 2192 GK;229.02;Embraco;Kompresörler;compressor;;
81;Embraco NT 2212 GK;253.34;Embraco;Kompresörler;compressor;;
82;Embraco NJ 2192 GJ (Rotolok Vanalı);311.06;Embraco;Kompresörler;compressor;;
83;Embraco NJ 2212 GK (Rotolock Vanalı );322.46;Embraco;Kompresörler;compressor;;
84;Embraco NJ 2212 GS;325.59;Embraco;Kompresörler;compressor;;
85;Embraco NJX 2219 GS;371.62;Embraco;Kompresörler;compressor;;
86;Embraco NJX 2219 GK;399.72;Embraco;Kompresörler;compressor;;
87;Embraco NEU 6181 U;114.07;Embraco;Kompresörler;compressor;;
88;Embraco NEU 6181 U - 115V 60Hz;120.45;Embraco;Kompresörler;compressor;;
89;Embraco NEK 6181 U;122.57;Embraco;Kompresörler;compressor;;
90;Embraco NEU 6210 U;117.44;Embraco;Kompresörler;compressor;;
91;Embraco NEU 6212 U;123.18;Embraco;Kompresörler;compressor;;
92;Embraco NEU 6214 U;126.04;Embraco;Kompresörler;compressor;;
93;Embraco NEU 6217 U;135.76;Embraco;Kompresörler;compressor;;
94;Embraco NEU 6217 U - 115-127V / 60Hz;129.07;Embraco;Kompresörler;compressor;;
95;Embraco NEU 6220 U;159.25;Embraco;Kompresörler;compressor;;
96;Embraco NT 6220 U;204.88;Embraco;Kompresörler;compressor;;
97;Embraco NT 6224 U;233.87;Embraco;Kompresörler;compressor;;
98;Embraco NT 6230 U;245.69;Embraco;Kompresörler;compressor;;
99;Embraco NEK 2134 U;130.72;Embraco;Kompresörler;compressor;;
100;Embraco NEU 2140 U;121.78;Embraco;Kompresörler;compressor;;
101;Embraco NEK 2150 U;130.66;Embraco;Kompresörler;compressor;;
102;Embraco NEU 2155 U;122.03;Embraco;Kompresörler;compressor;;
103;Embraco NEU 2168 U;142.86;Embraco;Kompresörler;compressor;;
104;Embraco NT 2170 U-CSR;238.45;Embraco;Kompresörler;compressor;;
105;Embraco NT 2180 U;239.89;Embraco;Kompresörler;compressor;;
106;Embraco NT 2180 U-CSR;250.80;Embraco;Kompresörler;compressor;;
107;Embraco NT 2210 U;244.94;Embraco;Kompresörler;compressor;;
108;Embraco NJX 2215 US;357.37;Embraco;Kompresörler;compressor;;
109;Embraco EMC 3117 U;89.10;Embraco;Kompresörler;compressor;;
110;Embraco EMC 3119 U;95.76;Embraco;Kompresörler;compressor;;
111;Embraco EMC 3121 U;99.21;Embraco;Kompresörler;compressor;;
112;Embraco EMC 3125 U;101.72;Embraco;Kompresörler;compressor;;
113;Embraco EMC 3130 U;104.20;Embraco;Kompresörler;compressor;;
114;Embraco EMC 3134 U;107.91;Embraco;Kompresörler;compressor;;
115;Embraco NJ 6226 Z (Vanasız-Kaynak Bağlantılı);301.52;Embraco;Kompresörler;compressor;;
116;Ebm 250 MM Emici Aksiyel Fan S4S250-AH02-01;57.60;Ebm-Papst;Fanlar & Motorlar;fan;;
117;Ebm 250 MM Üfleme Aksiyel Fan S4S250-AI02-01;57.60;Ebm-Papst;Fanlar & Motorlar;fan;;
118;Ebm 300 MM Emici Aksiyel Fan S4E300-AS72-37;52.80;Ebm-Papst;Fanlar & Motorlar;fan;;
119;Ebm 300 MM Emici Aksiyel Fan S4E300-AS72-50;45.00;Ebm-Papst;Fanlar & Motorlar;fan;;
120;Ebm 300 MM Üfleme Aksiyel Fan S4E300-AS72-80;52.80;Ebm-Papst;Fanlar & Motorlar;fan;;
121;Ebm 350 MM Emici Aksiyel Fan S4E350-AN02-50;70.80;Ebm-Papst;Fanlar & Motorlar;fan;;
122;Ebm 300 MM Emici Aksiyel Fan S4E300-G02;57.00;Ebm-Papst;Fanlar & Motorlar;fan;;
123;Ebm 350 MM Üfleme Aksiyel Fan S4E350-AN02-51;70.80;Ebm-Papst;Fanlar & Motorlar;fan;;
124;Ebm 350 MM Emici Aksiyel Fan S6E350-AN24-40;70.80;Ebm-Papst;Fanlar & Motorlar;fan;;
125;Ebm 350 MM Emici Aksiyel Fan S4D350-AN08-30;166.80;Ebm-Papst;Fanlar & Motorlar;fan;;
126;Ebm 350 MM Üfleme Aksiyel Fan S4D350-AN08-31;166.80;Ebm-Papst;Fanlar & Motorlar;fan;;
127;Ebm 400 MM Emici Aksiyel Fan S4E400-AP02-24;85.20;Ebm-Papst;Fanlar & Motorlar;fan;;
128;Ebm 300 MM Emici Aksiyel Fan S4E400-G02;73.80;Ebm-Papst;Fanlar & Motorlar;fan;;
129;Ebm 400 MM Üfleme Aksiyel Fan S4E400-AP02-61;85.20;Ebm-Papst;Fanlar & Motorlar;fan;;
130;Ebm 400 MM Emici Aksiyel Fan S6E400-AP10-47;85.20;Ebm-Papst;Fanlar & Motorlar;fan;;
131;Ebm 400 MM Emici Aksiyel Fan S4D400-AP12-03;178.80;Ebm-Papst;Fanlar & Motorlar;fan;;
132;Ebm 400 MM Üfleme Aksiyel Fan S4D400-AP12-04;178.80;Ebm-Papst;Fanlar & Motorlar;fan;;
133;Ebm 450 MM Emici Aksiyel Fan S4E450-AP01-06;88.80;Ebm-Papst;Fanlar & Motorlar;fan;;
134;Ebm 450 MM Üfleme Aksiyel Fan S4E450-AP01-27;88.80;Ebm-Papst;Fanlar & Motorlar;fan;;
135;Ebm 450 MM Emici Aksiyel Fan S6E450-AP02-06;88.80;Ebm-Papst;Fanlar & Motorlar;fan;;
136;Ebm 450 MM Emici Aksiyel Fan S4D450-AO14-01;190.80;Ebm-Papst;Fanlar & Motorlar;fan;;
137;Ebm 450 MM Üfleme Aksiyel Fan S4D450-AO14-02;190.80;Ebm-Papst;Fanlar & Motorlar;fan;;
138;Ebm 500 MM Emici Aksiyel Fan S4E500-AE03-01;140.40;Ebm-Papst;Fanlar & Motorlar;fan;;
139;Ebm 500 MM Emici Aksiyel Fan S4E500-AM03-01;127.20;Ebm-Papst;Fanlar & Motorlar;fan;;
140;Ebm 500 MM Üfleme Aksiyel Fan S4E500-AZ09-02;142.80;Ebm-Papst;Fanlar & Motorlar;fan;;
141;Ebm 500 MM Emici Aksiyel Fan S6E500-AJ05-01;126.00;Ebm-Papst;Fanlar & Motorlar;fan;;
142;Ebm 500 MM Emici Aksiyel Fan S4D500-AE03-01;153.00;Ebm-Papst;Fanlar & Motorlar;fan;;
143;Ebm 500 MM Emici Aksiyel Fan S4D500-AM03-01;133.08;Ebm-Papst;Fanlar & Motorlar;fan;;
144;Ebm 500 MM Üfleme Aksiyel Fan S4D500-AM03-02;162.00;Ebm-Papst;Fanlar & Motorlar;fan;;
145;Ebm 630 MM Emici Aksiyel Fan S4D630AD0101;426.00;Ebm-Papst;Fanlar & Motorlar;fan;;
146;Ebm 630 MM Emici Aksiyel Fan S6E630-AN01-01;166.80;Ebm-Papst;Fanlar & Motorlar;fan;;
147;Ebm 630 MM Emici Aksiyel Fan S6D630-AM01-01;190.80;Ebm-Papst;Fanlar & Motorlar;fan;;
148;Ebm 630 MM Emici Aksiyel Fan W4D630-GH01-01;402.00;Ebm-Papst;Fanlar & Motorlar;fan;;
149;Ebm 630 MM Emici Aksiyel Fan W4D630-GD01-01;414.00;Ebm-Papst;Fanlar & Motorlar;fan;;
150;Ebm 800 MM Emici Aksiyel Fan W6D800-KG13-01;398.40;Ebm-Papst;Fanlar & Motorlar;fan;;
151;Ebm 800 MM Emici Aksiyel Fan A6D800-AD01-01;450.00;Ebm-Papst;Fanlar & Motorlar;fan;;
152;Ebm 910 MM Emici Aksiyel Fan W6D910-GA01-01;630.00;Ebm-Papst;Fanlar & Motorlar;fan;;
153;bitzer 22 mm Saugventil halbhermetischer Kompressor;43.00;Bitzer;Kompresörler;compressor;;
154;bitzer 28 mm Saugventil halbhermetischer Kompressor;64.50;Bitzer;Kompresörler;compressor;;
155;bitzer 2CE-3Y-40S Ecoline Halbhermetisch Kompressor;2152.28;Bitzer;Kompresörler;compressor;;
156;bitzer 2ces-4y Ecoline Halbhermetisch Kompressor;2245.35;Bitzer;Kompresörler;compressor;;
157;bitzer 2DES-2Y Ecoline Halbhermetisch Kompressor;2076.17;Bitzer;Kompresörler;compressor;;
158;bitzer 2DES-3Y Ecoline Halbhermetisch Kompressor;2162.46;Bitzer;Kompresörler;compressor;;
159;bitzer 2ees-2y Ecoline Halbhermetischer Kompressor;1980.27;Bitzer;Kompresörler;compressor;;
160;bitzer 2ees-3y Ecoline Halbhermetischer Kompressor;2135.14;Bitzer;Kompresörler;compressor;;
161;bitzer 2Fes-2y Ecoline Semi-Hermetisch-Kompressor;1419.03;Bitzer;Kompresörler;compressor;;
162;bitzer 2Fes-3y Ecoline Halbhermetischer Kompressor;1486.85;Bitzer;Kompresörler;compressor;;
163;bitzer 2Ges-2y Ecoline Halbhermetisch Kompressor;1361.76;Bitzer;Kompresörler;compressor;;
164;bitzer 2HES-1Y Ecoline Halbhermetisch Kompressor;1337.26;Bitzer;Kompresörler;compressor;;
165;bitzer 2HES-2Y Ecoline Semi-Hermetisch-Kompressor;1362.32;Bitzer;Kompresörler;compressor;;
166;bitzer 2JES-07Y Ecoline Halbhermetischer Kompressor;1323.13;Bitzer;Kompresörler;compressor;;
167;bitzer 2KES-05Y Ecoline Semi-Hermetisch-Kompressor;1308.81;Bitzer;Kompresörler;compressor;;
168;bitzer 4Bes-9Y Ecoline Halbhermetisch Kompressor;3796.45;Bitzer;Kompresörler;compressor;;
169;bitzer 4ces-6y (4cc-6,2y) AOB Ecoline semi-hermetischer Kompressor;3273.64;Bitzer;Kompresörler;compressor;;
170;bitzer 4DES-5Y Ecoline Semi-Hermetisch-Kompressor;2979.36;Bitzer;Kompresörler;compressor;;
171;bitzer 4DES-7Y Ecoline Semi-Hermetisch-Kompressor;3131.96;Bitzer;Kompresörler;compressor;;
172;bitzer 4ees-4y ecoline semi-hermetischer Kompressor;2372.14;Bitzer;Kompresörler;compressor;;
173;bitzer 4ees-6y Ecoline Halbhermetischer Kompressor;2717.67;Bitzer;Kompresörler;compressor;;
174;bitzer 4FE-28y Ecoline Halbhermetisch Kompressor;7569.72;Bitzer;Kompresörler;compressor;;
175;bitzer 4Fe-35y Ecoline Halbhermetisch Kompressor;7883.60;Bitzer;Kompresörler;compressor;;
176;bitzer 4Fes-3y Ecoline Halbhermetischer Kompressor;2315.81;Bitzer;Kompresörler;compressor;;
177;bitzer 4FES-5Y-40S Ecoline Halbhermetisch Kompressor;2557.72;Bitzer;Kompresörler;compressor;;
178;bitzer 4Ge-23y Ecoline Halbhermetisch Kompressor;7299.18;Bitzer;Kompresörler;compressor;;
179;bitzer 4Ge-30y Ecoline Halbhermetischer Kompressor;7603.26;Bitzer;Kompresörler;compressor;;
180;bitzer 4HE-18Y ECOLINE SEMI Hermetisch Kompressor;6505.83;Bitzer;Kompresörler;compressor;;
181;bitzer 4HE-25Y (4H-25.2y) OYB Ecoline Halbhermetisch Kompressor;6843.06;Bitzer;Kompresörler;compressor;;
182;bitzer 4je-15y Ecoline Halbhermetischer Kompressor;6490.76;Bitzer;Kompresörler;compressor;;
183;bitzer 4je-22y Ecoline Halbhermetisch Kompressor;6824.60;Bitzer;Kompresörler;compressor;;
184;bitzer 4nes-14y Ecoline Halbhermetischer Kompressor;4946.82;Bitzer;Kompresörler;compressor;;
185;bitzer 4NES-20y Ecoline Halbhermetisch Kompressor;5250.14;Bitzer;Kompresörler;compressor;;
186;bitzer 4pes-12y (4pcs-10.2y) AOB Ecoline Halbhermetisch Kompressor;4393.11;Bitzer;Kompresörler;compressor;;
187;bitzer 4pes-15y Ecoline Halbhermetischer Kompressor;4583.96;Bitzer;Kompresörler;compressor;;
188;bitzer 4tes-12y Ecoline Halbhermetischer Kompressor;4226.94;Bitzer;Kompresörler;compressor;;
189;bitzer 4tes-9y Ecoline Halbhermetisch Kompressor;4049.28;Bitzer;Kompresörler;compressor;;
190;bitzer 4Ves-10y Ecoline Semi-Hermetisch-Kompressor;4104.11;Bitzer;Kompresörler;compressor;;
191;bitzer 4Ves-7y Ecoline Halbhermetisch Kompressor;3945.28;Bitzer;Kompresörler;compressor;;
192;bitzer 6FE-44y (6F-40,2y) AOB Ecoline Halbhermetisch Kompressor;11484.68;Bitzer;Kompresörler;compressor;;
193;bitzer 6FE-50y Ecoline Halbhermetischer Kompressor;11794.97;Bitzer;Kompresörler;compressor;;
194;bitzer 6GE-34Y ECOLINE SEMIEMEMENMETISCHERKOMPRESSOR;9477.65;Bitzer;Kompresörler;compressor;;
195;bitzer 6GE-40Y ECOLINE SEMIEMEMETISCHENKOMPRESSOR;10123.49;Bitzer;Kompresörler;compressor;;
196;bitzer 6HE-28Y ECOLINE SEMI-Hermetisch Kompressor;8264.17;Bitzer;Kompresörler;compressor;;
197;bitzer 6HE-35Y Ecoline Halbhermetisch Kompressor;9477.65;Bitzer;Kompresörler;compressor;;
198;bitzer 6je-33y Ecoline Halbhermetischer Kompressor;9213.70;Bitzer;Kompresörler;compressor;;
199;bitzer 8FE-70Y Ecoline Halbhermetischer Kompressor;15669.60;Bitzer;Kompresörler;compressor;;
200;bitzer 8GE-60Y ECOLINE SEMI-Hermetisch Kompressor;14426.92;Bitzer;Kompresörler;compressor;;
201;bitzer BVC 32 / POE 32 Kompressoröl 5 LT;447.45;Bitzer;Kompresörler;compressor;;
202;bitzer S4G-12,2Y-LS Semi-Hemetic Double Stufe Kompressor;8669.04;Bitzer;Kompresörler;compressor;;
203;bitzer S6F-30,2Y-LS Halbhermetisch Double Stage Kompressor;14272.62;Bitzer;Kompresörler;compressor;;
204;tecumseh AE 4430 ZNBR 1/3 HP 220V R-404A Hermetischer Kompressor;109.25;Tecumseh;Kompresörler;compressor;;
205;tecumseh AE 4456 y 1/2 HP 220V R-134A Hermetischer Kompressor;177.41;Tecumseh;Kompresörler;compressor;;
206;tecumseh AE 4460 YNBR 1/2+ HP 220V R-134A Hermetischer Kompressor;177.38;Tecumseh;Kompresörler;compressor;;
207;tecumseh AE 4460 ZNBR 1/2+HP 220V R-404A Hermetischer Kompressor;165.19;Tecumseh;Kompresörler;compressor;;
208;tecumseh AE 4470 ZNBR 3/4 HP 220V R-404A Hermetischer Kompressor;182.51;Tecumseh;Kompresörler;compressor;;
209;tecumseh Ag 2522 P TZ 7 HP 380V R-404A 2 Valent Hermetisch Kompressor Tag 2522 Z;1033.15;Tecumseh;Kompresörler;compressor;;
210;tecumseh AG 4561 P TZ R-404A Valted Hermetisch Kompressor 5 PS 380V Tag 4561 Z;919.86;Tecumseh;Kompresörler;compressor;;
211;tecumseh AG 4573 P TZ 7 HP 380V R-404A 2 Hermetisch Kompressor Tag 4573 Z;1062.44;Tecumseh;Kompresörler;compressor;;
212;tecumseh AJ 2464 P - TZ 1,5 PS 380 V R -404A Hermetischer Kompressor mit Ventil (Taj 2464 Z);458.34;Tecumseh;Kompresörler;compressor;;
213;tecumseh AJ 4510 P - FZ 1 HP 220 V R -404A Hermetischer Kompressor CAJ 9510 Z.;358.37;Tecumseh;Kompresörler;compressor;;
214;tecumseh AJ 4519 P fz 1,5 HP 220 V R-404A Valted Hermetisch Kompressor CAJ 4519 Z;403.97;Tecumseh;Kompresörler;compressor;;
215;tecumseh AWG 5524 EVA 2 HP 220V R-22 geschweißter hermetischer Kompressor;416.05;Tecumseh;Kompresörler;compressor;;
216;tecumseh CAJ 2432 Z 3/4 HP 220V R-404A Hermetischer Kompressor;310.08;Tecumseh;Kompresörler;compressor;;
217;tecumseh CAJ 2446 Z 1 HP 220V R-404A Hermetischer Kompressor;357.96;Tecumseh;Kompresörler;compressor;;
218;tecumseh CAJ 2464 Z 1,5 HP 220 V R-404A Hermetischer Kompressor;367.38;Tecumseh;Kompresörler;compressor;;
219;tecumseh CAJ 4461 Y 1/2+ HP 220V R-134A Hermetischer Kompressor;285.44;Tecumseh;Kompresörler;compressor;;
220;tecumseh CAJ 4492 Y 3/4 HP 220V R-134A Hermetischer Kompressor;330.64;Tecumseh;Kompresörler;compressor;;
221;tecumseh CAJ 4511 y 1 HP 220V R-134A Hermetischer Kompressor;414.48;Tecumseh;Kompresörler;compressor;;
222;tecumseh CAJ 4517 Z 1,3 HP 220 V R-404A Hermetischer Kompressor;383.92;Tecumseh;Kompresörler;compressor;;
223;tecumseh CAJ 9480 Z 3/4 HP 220V R-404A Hermetischer Kompressor;336.25;Tecumseh;Kompresörler;compressor;;
224;tecumseh CAJ 9513 Z 1+ HP 220V R-404A Valia Hermetischer Kompressor;398.47;Tecumseh;Kompresörler;compressor;;
225;tecumseh FH 2480 Z - xg 2 HP 380 V R -404A 2 Hermetischer Kompressor mit Ventil;665.24;Tecumseh;Kompresörler;compressor;;
226;tecumseh FH 2480 Z - xg 2 HP 380V R -404a mit Hermetikkompressor;603.62;Tecumseh;Kompresörler;compressor;;
227;tecumseh FH 2511 Z - xg 3 HP 380 V R -404A Ventil Hermetischer Kompressor;721.59;Tecumseh;Kompresörler;compressor;;
228;tecumseh FH 2511 Z-XG-Tube 3 HP 380V R-404a mit Hermetikkompressor;669.39;Tecumseh;Kompresörler;compressor;;
229;tecumseh FH 4524 Z - XC 2 HP 220 V R -404A Hermetischer Kompressor mit Ventil;601.25;Tecumseh;Kompresörler;compressor;;
230;tecumseh FH 4524 Z - xg 2 HP 380 V R -404A Ventil Hermetischer Kompressor;562.63;Tecumseh;Kompresörler;compressor;;
231;tecumseh FH 4532 Z XC 2,5 HP 220V R-404A 2 Valent Hermetisch Kompressor;624.25;Tecumseh;Kompresörler;compressor;;
232;tecumseh FH 4532 Z XG R-404A VALLED Hermetisch Kompressor 2,5 PS 380V 4531 Z;599.74;Tecumseh;Kompresörler;compressor;;
233;tecumseh FH 4538 Z - XC 3 HP 220 V R -404A Hermetischer Kompressor mit Ventil;659.14;Tecumseh;Kompresörler;compressor;;
234;tecumseh FH 4538 Z XG R-404A VALLED Hermetisch Kompressor 3 PS 380V;598.30;Tecumseh;Kompresörler;compressor;;
235;tecumseh FH 4544 Z - xg 4 HP 380 V R -404A Ventil Hermetischer Kompressor;741.58;Tecumseh;Kompresörler;compressor;;
236;tecumseh Tag 2513 Z 4 HP 380V R-404A 2 Ventil Ventil Hermetischer Kompressor;950.17;Tecumseh;Kompresörler;compressor;;
237;tecumseh Tag 2516 Z 5 HP 380V R-404A 2 Hermetischer Kompressor mit Ventil;951.80;Tecumseh;Kompresörler;compressor;;
238;tecumseh Tag 2525 Z 8 HP 380V R-404A 2 Ventil Ventil Hermetischer Kompressor;1049.42;Tecumseh;Kompresörler;compressor;;
239;tecumseh Tag 4534 y 2,5 PS 380V R-134A Hermetischer Kompressor;577.38;Tecumseh;Kompresörler;compressor;;
240;tecumseh Tag 4546 Z R-404A 2 Hermetischer Kompressor mit Ventil 4 PS 380V;902.96;Tecumseh;Kompresörler;compressor;;
241;tecumseh Tag 4553 Z 4,5 PS 380V R-404A 2 Valent Hermetisch Kompressor;905.73;Tecumseh;Kompresörler;compressor;;
242;tecumseh Tag 4561 Z 5 HP 380V R-404a Ursprung des Hermetikkompressors;881.62;Tecumseh;Kompresörler;compressor;;
243;tecumseh Tag 4568 Z 6 HP 380V R-404A Ventil Hermetisch Kompressor;1003.87;Tecumseh;Kompresörler;compressor;;
244;tecumseh Taj 2464 Z 1,5 PS 380V R-404A Valted Hermetisch Kompressor;643.68;Tecumseh;Kompresörler;compressor;;
245;tecumseh Taj 4517 Z 1,3 HP 380V R-404A Hermetischer Kompressor;456.44;Tecumseh;Kompresörler;compressor;;
246;tecumseh Taj 4519 Z 1,5 PS 380V R-404a Valibel Hermetisch Kompressor;470.15;Tecumseh;Kompresörler;compressor;;
247;tecumseh TFH 4518 Y Hermetischer Kompressor;588.75;Tecumseh;Kompresörler;compressor;;
248;tecumseh TFH 5524 E 2 HP 220 V R-22 Ventil Hermetischer Kompressor;417.62;Tecumseh;Kompresörler;compressor;;
249;Lionball YJF 5-26 5W Lüftermotoru;12.04;Lionball;Fanlar & Motorlar;fan;;
250;Lionball YJF 10-26 10W Lüftermotoru;14.16;Lionball;Fanlar & Motorlar;fan;;
251;Lionball YJF 16-26 16W Lüftermotoru;16.16;Lionball;Fanlar & Motorlar;fan;;
252;Lionball YJF 18-26 18W Lüftermotoru;18.88;Lionball;Fanlar & Motorlar;fan;;
253;Lionball YJF 25-26 25W Lüftermotoru;21.48;Lionball;Fanlar & Motorlar;fan;;
254;Ziehl-Abegg FN035-6EK.0C.V7P2 Fan Mot. - 155901;112.55;Ziehl-Abegg;Fanlar & Motorlar;fan;;
255;Ziehl-Abegg FN035-6EK.0C.V7P2 Fan Mot. - 185467;112.55;Ziehl-Abegg;Fanlar & Motorlar;fan;;
256;Ziehl-Abegg FN040-6EK.0F.V7P1 Fan Mot. - 152915;118.65;Ziehl-Abegg;Fanlar & Motorlar;fan;;
257;Ziehl-Abegg FN045-6EK.2F.V7P3 Fan Mot. - 160042;131.31;Ziehl-Abegg;Fanlar & Motorlar;fan;;
258;Ziehl-Abegg FB050-6EK.4I.V4 Fan Mot-Mnf.-124190;16130.00;Ziehl-Abegg;Fanlar & Motorlar;fan;;
259;Ziehl-Abegg FN050-6EK.4F.V7P1 Fan Mot - 154149;193.71;Ziehl-Abegg;Fanlar & Motorlar;fan;;
